day_of_week	perf_date	perf_time	title	venue	perf_link	category	rating	website	event	image_url
Wednesday	21/08/2019	18:15	Roadkill Confidential	BYOV19 - 19: Sugar Swing Ballroom: Upstairs	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21161	Comedy/Drama	Adult	#	BYOV	https://eventotron.imgix.net/05-25-2019-001306-1619.jpg
Wednesday	21/08/2019	18:15	Denial Is A Wonderful Thing	10: Acacia Hall	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21795	Storytelling	Parental Guidance (14+)	www.theexit.org/denial	Lottery	https://eventotron.imgix.net/05-01-2019-190847-7140.jpg
Wednesday	21/08/2019	18:15	Rose Petals and Ashes	5: Kick Point King Edward School	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22371	Music/Musical Theatre	Parental Guidance (14+)	www.rosepetalsandashes.com	Lottery	https://eventotron.imgix.net/05-25-2019-060930-9156.jpg
Wednesday	21/08/2019	18:15	Oh Manada: Northern Touch	BYOV19 - 20: Garneau Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22626	Burlesque	Adult	www.boylesqueto.com	BYOV	https://eventotron.imgix.net/05-26-2019-183553-8848.jpg
Wednesday	21/08/2019	18:30	All You Need	BYOV19 - 23: The Grindstone - Luther Room	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21686	Comedy/Drama	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-31-2019-053402-5451.jpg
Wednesday	21/08/2019	18:30	We Now Know: The Complete History of Science	6: Strathcona Community League	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21973	Theatre for Young Audiences	Family Friendly	www.monstertheatre.com	Lottery	https://eventotron.imgix.net/05-01-2019-194550-3649.jpg
Wednesday	21/08/2019	18:30	My Dad's Deaths (A Comedy)	7: Chianti Yardbird Suite	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22671	Storytelling	Parental Guidance (14+)	www.jonbennettcomedy.com	Lottery	https://eventotron.imgix.net/05-12-2019-033230-9479.jpg
Wednesday	21/08/2019	18:30	Is This Yours?	BYOV19 - 26: The Almanac	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21505	Storytelling	Parental Guidance (14+)	http://www.al-lafrance.com/	BYOV	https://eventotron.imgix.net/04-25-2019-004400-3158.jpg
Wednesday	21/08/2019	18:30	The Trophy Hunt	BYOV19 - 17: The Roxy on Gateway	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21439	Drama	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-29-2019-215229-4175.jpg
Wednesday	21/08/2019	18:30	Where Heroes Lie	BYOV19 - 14: The de Villars Jones LLP Stage at Holy Trinity Church	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22211	Drama	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-24-2019-203729-2912.jpg
